source,participant_id,stage_id,condition,case_id,part_id,item_no,sentence_id,source_text,sentence_text,state,start_time,end_time,iso_start,iso_end,iso_range,unknown,sink,interlude,accepted_ai_without_edit,unresolved_time_texts,notes
human,P1,stage1,Human-only,H-C1,H-C1,13,53.11.3,萧相国世家,有一个门客劝告萧相国说：“您灭族的日子不远了。您位居相国，功劳数第一，还能够再加功吗？您当初进入关中就深得民心，至今十多年了，民众都亲附您，您还是那么勤勉地做事，与百姓关系和谐，受到爱戴。皇上之所以屡次询问您的情况，是害怕您震撼关中。如今您何不多买田地，采取低价、赊借等手段来败坏自己的声誉？这样，皇上的心才会安定。”,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,14,53.11.4,萧相国世家,于是萧相国听从了他的计谋，高祖才非常高兴。,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,15,53.12.1,萧相国世家,高祖征罢黥布军队回来，民众拦路上书，说相国低价强买百姓田地房屋数量极多。,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,,,
human,P6,stage1,Human+AI,H-C1,H-C1,1,53.10.1,萧相国世家,汉十一年，陈豨反叛，高祖亲自率军到了邯郸。,time_range,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,2,53.10.2,萧相国世家,平叛尚未结束，淮阴侯韩信又在关中谋反，吕后采用萧何的计策，杀了淮阴侯，此事记载在《淮阴侯列传》中。,time_range,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,3,53.10.3,萧相国世家,高祖已经听说淮阴侯被杀，派遣使者拜丞相萧何为相国，加封五千户，并令五百名士卒、一名都尉做相国的卫队。,time_range,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,4,53.10.4,萧相国世家,为此许多人都来祝贺，唯独召平表示哀悼。,time_range,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,5,53.10.5,萧相国世家,召平原是秦朝的东陵侯。,sink,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,true,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,6,53.10.6,萧相国世家,秦朝灭亡后，他沦为平民，家中贫穷，在长安城东种瓜。,time_range,-infinity,汉十一年,-infinity,-0196-10,-infinityto-0196-10,false,false,true,no,,
human,P6,stage1,Human+AI,H-C1,H-C1,7,53.10.7,萧相国世家,他种的瓜味道甜美，所以社会上的人称它为“东陵瓜”，这是根据召平的封号来命名的。,time_range,-infinity,汉十一年,-infinity,-0196-10,-infinityto-0196-10,false,false,true,no,,
human,P6,stage1,Human+AI,H-C1,H-C1,8,53.10.8,萧相国世家,召平对相国萧何说：“祸患从此开始了。皇上风吹日晒地统军在外，而您留守朝中，未遭战事之险，反而增加您的封邑并设置卫队，这是因为目前淮阴侯刚刚在京城谋反，对您的内心有所怀疑。设置卫队保护您，并非以此宠信您，希望您辞让封赏不受，把家产、资财全都捐助军队，那么皇上心里就会高兴。”,time_range,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,9,53.10.9,萧相国世家,萧相国听从了他的计谋。,time_range,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,10,53.10.10,萧相国世家,高帝果然非常欢喜。,time_range,汉十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,11,53.11.1,萧相国世家,汉十二年的秋天，黥布反叛，高祖亲自率军征讨他，多次派人来询问萧相国在做什么。,time_range,汉高祖十二年秋,汉高祖十二年秋,-0194-09,-0194-09,-0194-09to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,12,53.11.2,萧相国世家,萧相国因为皇上在军中，就在后方安抚勉励百姓，把自己的家财全都捐助军队，和讨伐陈豨时一样。,time_range,汉高祖十二年秋,汉高祖十二年秋,-0194-09,-0194-09,-0194-09to-0194-09,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,13,53.11.3,萧相国世家,有一个门客劝告萧相国说：“您灭族的日子不远了。您位居相国，功劳数第一，还能够再加功吗？您当初进入关中就深得民心，至今十多年了，民众都亲附您，您还是那么勤勉地做事，与百姓关系和谐，受到爱戴。皇上之所以屡次询问您的情况，是害怕您震撼关中。如今您何不多买田地，采取低价、赊借等手段来败坏自己的声誉？这样，皇上的心才会安定。”,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,14,53.11.4,萧相国世家,于是萧相国听从了他的计谋，高祖才非常高兴。,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,yes,,
human,P6,stage1,Human+AI,H-C1,H-C1,15,53.12.1,萧相国世家,高祖征罢黥布军队回来，民众拦路上书，说相国低价强买百姓田地房屋数量极多。,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,yes,,
human,P2,stage1,Human-only,H-C2,H-C2,1,7.25.1,项羽本纪,汉元年四月，在项王硅麾之下诸侯罢兵散归，各自回到封国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,2,7.25.2,项羽本纪,项王也出关回到封国，派人迁徙义帝，说：“古代做帝王的拥有千里见方的土地，必须住在上游。”于是就派遣使者把义帝迁往长沙郴县。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,3,7.25.3,项羽本纪,项王催促义帝快些动身，义帝群臣渐渐背叛了他，项王就暗中命令衡山王、临江王把义帝击杀在江中。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,4,7.25.4,项羽本纪,韩王成没有军功，项王不让他就国，一起到了彭城，废去王号，改封为侯，不久又杀死了。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,5,7.25.5,项羽本纪,臧荼到了封国，就驱逐韩广去辽东，韩广不服从，臧茶在无终击杀了韩广，兼并了他的封地。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,6,7.26.1,项羽本纪,田荣听说项羽把齐王市徒封胶东，而立齐将田都为齐王，十分气愤，不愿让齐王去胶东，就据齐反叛，迎击田都。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,7,7.26.2,项羽本纪,田都逃往楚国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,8,7.26.3,项羽本纪,齐工市害怕项王，就潜往胶东就国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,9,7.26.4,项羽本纪,田荣大为生气，派兵追击，在即墨杀死了他。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,10,7.26.5,项羽本纪,田荣便自立为齐王，向西进兵，击杀了济北王田安，兼并了三齐。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,11,7.26.6,项羽本纪,田荣把将军印授予彭越，让他在梁地反楚。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,12,7.26.7,项羽本纪,陈余秘密派遣张同、夏说劝告齐王田荣说：“项羽为天下的主宰，（分封侯王）不公平。如今把原来的诸侯王都封在坏地方称王，而他的群臣诸将都封在好地方称王。（因为要）赶走原来的诸侯王，赵王就（只好）到北方居住代地，我以为这样是不能答应的。听说大王已经起兵，而且不接受不道义的命令，希望大王援助我一些兵马，允许我用以攻打常山，恢复赵王的地位，愿把赵国作为齐国的屏障。”,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,13,7.26.8,项羽本纪,齐王答应了，就遣兵赴赵。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,14,7.26.9,项羽本纪,陈余调动了三县的全部士卒，与齐军并力攻打常山，打垮了常山的军队。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,15,7.26.10,项羽本纪,张耳逃走归服了汉王。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,16,7.26.11,项羽本纪,陈余去代地迎接原来的赵王歇返归赵地。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,17,7.26.12,项羽本纪,赵王就立陈余为代王。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,18,7.27.1,项羽本纪,这时，汉王回军平定了三秦。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,19,7.27.2,项羽本纪,项羽听说汉王已经兼并了关中，将要东进，齐、赵又反叛了他，非常愤怒。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,20,7.27.3,项羽本纪,就以从前的吴令郑昌为韩王，来阻挡汉军。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,21,7.27.4,项羽本纪,命令萧公角等人攻击彭越。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,22,7.27.5,项羽本纪,彭越打败了萧公角等人。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,23,7.27.6,项羽本纪,汉王派张良巡行招抚韩地，张良就给项王写信说：“汉王（没有如约称王关中），有失职守，打算取得关中，实现了原来的约定就停止进军，不敢继续东进。”,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,24,7.27.7,项羽本纪,张良又把齐、梁的反叛文告送给项王，说：“齐想和赵并力灭楚。”楚军因此无意西进，而向北攻打齐国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,25,7.27.8,项羽本纪,项王向九江王黥布征调兵力。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,26,7.27.9,项羽本纪,黥布称病不往，派将领率兵几千人前去。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,27,7.27.10,项羽本纪,项王从此怨恨黥布。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,28,7.28.1,项羽本纪,汉二年冬，项羽北上到达城阳，田荣也率军到此与项羽会战。,time_range,汉二年冬,汉四年,-0205-12,-0203-10,-0205-12to-0203-10,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,29,7.28.2,项羽本纪,田荣兵败，逃到平原，平原百姓杀死了他。,time_range,汉二年冬,汉四年,-0205-12,-0203-10,-0205-12to-0203-10,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,30,7.28.3,项羽本纪,楚军北进，烧毁齐国房屋，夷平齐国城郭，坑杀田荣降卒，掳掠老弱妇女。,time_range,汉二年冬,汉四年,-0205-12,-0203-10,-0205-12to-0203-10,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,31,7.32.1,项羽本纪,汉三年，项王屡次侵夺汉军的甬道，汉王粮食缺乏，恐慌起来，请求讲和，划分荥阳以西归汉。,time_range,汉二年冬,汉四年,-0205-12,-0203-10,-0205-12to-0203-10,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,32,7.32.2,项羽本纪,项王想要答应他。,time_range,汉二年冬,汉四年,-0205-12,-0203-10,-0205-12to-0203-10,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,33,7.32.3,项羽本纪,历阳侯范增说：“汉军容易对付，现在放掉他们，不予以消灭，以后一定要懊悔。”,time_range,汉二年冬,汉四年,-0205-12,-0203-10,-0205-12to-0203-10,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,34,7.32.4,项羽本纪,项王就和范增加紧围攻荥阳。,time_range,汉二年冬,汉四年,-0205-12,-0203-10,-0205-12to-0203-10,false,false,false,,,
human,P2,stage1,Human-only,H-C2,H-C2,35,7.35.2,项羽本纪,汉四年，项王围攻成皋。,time_range,汉四年,+infinity,-0203-10,+infinity,-0203-10to+infinity,false,false,false,,,
human,P1,stage2,Human+AI,H-C2,H-C2,1,7.25.1,项羽本纪,汉元年四月，在项王硅麾之下诸侯罢兵散归，各自回到封国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,2,7.25.2,项羽本纪,项王也出关回到封国，派人迁徙义帝，说：“古代做帝王的拥有千里见方的土地，必须住在上游。”于是就派遣使者把义帝迁往长沙郴县。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,3,7.25.3,项羽本纪,项王催促义帝快些动身，义帝群臣渐渐背叛了他，项王就暗中命令衡山王、临江王把义帝击杀在江中。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,4,7.25.4,项羽本纪,韩王成没有军功，项王不让他就国，一起到了彭城，废去王号，改封为侯，不久又杀死了。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,5,7.25.5,项羽本纪,臧荼到了封国，就驱逐韩广去辽东，韩广不服从，臧茶在无终击杀了韩广，兼并了他的封地。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,6,7.26.1,项羽本纪,田荣听说项羽把齐王市徒封胶东，而立齐将田都为齐王，十分气愤，不愿让齐王去胶东，就据齐反叛，迎击田都。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,7,7.26.2,项羽本纪,田都逃往楚国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,8,7.26.3,项羽本纪,齐工市害怕项王，就潜往胶东就国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,9,7.26.4,项羽本纪,田荣大为生气，派兵追击，在即墨杀死了他。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,10,7.26.5,项羽本纪,田荣便自立为齐王，向西进兵，击杀了济北王田安，兼并了三齐。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,11,7.26.6,项羽本纪,田荣把将军印授予彭越，让他在梁地反楚。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,12,7.26.7,项羽本纪,陈余秘密派遣张同、夏说劝告齐王田荣说：“项羽为天下的主宰，（分封侯王）不公平。如今把原来的诸侯王都封在坏地方称王，而他的群臣诸将都封在好地方称王。（因为要）赶走原来的诸侯王，赵王就（只好）到北方居住代地，我以为这样是不能答应的。听说大王已经起兵，而且不接受不道义的命令，希望大王援助我一些兵马，允许我用以攻打常山，恢复赵王的地位，愿把赵国作为齐国的屏障。”,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,13,7.26.8,项羽本纪,齐王答应了，就遣兵赴赵。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,14,7.26.9,项羽本纪,陈余调动了三县的全部士卒，与齐军并力攻打常山，打垮了常山的军队。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,15,7.26.10,项羽本纪,张耳逃走归服了汉王。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,16,7.26.11,项羽本纪,陈余去代地迎接原来的赵王歇返归赵地。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,17,7.26.12,项羽本纪,赵王就立陈余为代王。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,18,7.27.1,项羽本纪,这时，汉王回军平定了三秦。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,19,7.27.2,项羽本纪,项羽听说汉王已经兼并了关中，将要东进，齐、赵又反叛了他，非常愤怒。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,20,7.27.3,项羽本纪,就以从前的吴令郑昌为韩王，来阻挡汉军。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,21,7.27.4,项羽本纪,命令萧公角等人攻击彭越。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,22,7.27.5,项羽本纪,彭越打败了萧公角等人。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,23,7.27.6,项羽本纪,汉王派张良巡行招抚韩地，张良就给项王写信说：“汉王（没有如约称王关中），有失职守，打算取得关中，实现了原来的约定就停止进军，不敢继续东进。”,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,24,7.27.7,项羽本纪,张良又把齐、梁的反叛文告送给项王，说：“齐想和赵并力灭楚。”楚军因此无意西进，而向北攻打齐国。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,25,7.27.8,项羽本纪,项王向九江王黥布征调兵力。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,26,7.27.9,项羽本纪,黥布称病不往，派将领率兵几千人前去。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,27,7.27.10,项羽本纪,项王从此怨恨黥布。,time_range,汉元年四月,汉二年冬,-0205-04,-0205-12,-0205-04to-0205-12,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,28,7.28.1,项羽本纪,汉二年冬，项羽北上到达城阳，田荣也率军到此与项羽会战。,time_range,汉二年冬,汉三年,-0205-12,-0204-10,-0205-12to-0204-10,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,29,7.28.2,项羽本纪,田荣兵败，逃到平原，平原百姓杀死了他。,time_range,汉二年冬,汉三年,-0205-12,-0204-10,-0205-12to-0204-10,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,30,7.28.3,项羽本纪,楚军北进，烧毁齐国房屋，夷平齐国城郭，坑杀田荣降卒，掳掠老弱妇女。,time_range,汉二年冬,汉三年,-0205-12,-0204-10,-0205-12to-0204-10,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,31,7.32.1,项羽本纪,汉三年，项王屡次侵夺汉军的甬道，汉王粮食缺乏，恐慌起来，请求讲和，划分荥阳以西归汉。,time_range,汉三年,汉四年,-0204-10,-0203-10,-0204-10to-0203-10,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,32,7.32.2,项羽本纪,项王想要答应他。,time_range,汉三年,汉四年,-0204-10,-0203-10,-0204-10to-0203-10,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,33,7.32.3,项羽本纪,历阳侯范增说：“汉军容易对付，现在放掉他们，不予以消灭，以后一定要懊悔。”,time_range,汉三年,汉四年,-0204-10,-0203-10,-0204-10to-0203-10,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,34,7.32.4,项羽本纪,项王就和范增加紧围攻荥阳。,time_range,汉三年,汉四年,-0204-10,-0203-10,-0204-10to-0203-10,false,false,false,yes,,
human,P1,stage2,Human+AI,H-C2,H-C2,35,7.35.2,项羽本纪,汉四年，项王围攻成皋。,time_range,汉四年,+infinity,-0203-10,+infinity,-0203-10to+infinity,false,false,false,yes,,
human,P3,stage1,Human-only,H-C3,H-C3,1,8.5.1,高祖本纪,高祖作亭长时，曾经请假回家。,time_range,-infinity,汉元年十月,-infinity,-0206-10,-infinityto-0206-10,false,false,false,,,
human,P3,stage1,Human-only,H-C3,H-C3,2,8.5.2,高祖本纪,吕后与两个孩子在田间除草，有一老人路过，要些水喝，吕后就请他吃了饭。,time_range,-infinity,汉元年十月,-infinity,-0206-10,-infinityto-0206-10,false,false,false,,,
human,P3,stage1,Human-only,H-C3,H-C3,3,8.5.3,高祖本纪,老人给吕后相面，说：“夫人是天下的贵人。”吕后让他给两个孩子看相。,time_range,-infinity,汉元年十月,-infinity,-0206-10,-infinityto-0206-10,false,false,false,,,
