form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T2,C,C9-06,Agent 9,8.42.5,高祖本纪,,,,D,0.95,target描述项羽取胜后赶走彭越，攻克荥阳，杀周苛、枞公，进围成皋。D选项8.42.5前文包含楚军攻下荥阳、烹周苛、杀枞公，以及项王围攻成皋，与target核心动作链完全一致。
T2,C,C9-07,Agent 9,53.4.3,萧相国世家,,,,B,0.6,target叙述沛公为汉王、任命萧何为丞相，属于汉初封王建政事件。B选项的8.26.2直接提及改立沛公为汉王，8.26.1-8.26.7详细描述项羽分封诸侯，与target紧密相关；而A、C、D分别涉及楚怀王约定、沛公起兵、汉王东征等不同阶段，核心动作不一致。
T2,C,C9-08,Agent 9,53.4.2,萧相国世家,,,,C,1.0,C选项包含沛公进入咸阳、萧何收取档案文献等核心动作，与target完全相同。
T3,A,A-3-01,Agent 2/3/4,53.9.4,萧相国世家,后又,否,是,,0.95,[reviewed] 句首'后又'为相对时间，后半句'高祖过去到咸阳服役时'属过去事件时间点，故时间信息原文保留'后又'；句子陈述加封事件，非下沉句；插入过去回忆解释封赏原因，属插叙。
T3,A,A-3-02,Agent 2/3/4,53.10.6,萧相国世家,秦朝灭亡后,否,是,,0.95,[reviewed] 更正：目标句包含明确时间短语“秦朝灭亡后”，且有具体事件“沦为平民”；此句回溯秦亡后背景，属于插叙。
T3,A,A-3-03,Agent 2/3/4,8.26.1,高祖本纪,正月,否,否,,1.0,[reviewed] 目标句句首有明确时间词‘正月’，叙述项羽自立为西楚霸王的具体事件，非下沉句，也无插叙。
T3,A,A-3-04,Agent 2/3/4,8.29.1,高祖本纪,八月,否,否,,1.0,[reviewed] 句首有明确时间原文'八月'，且描述具体军事行动，非下沉句；当前时间线与上下文连续，无插叙。
T3,A,A-3-05,Agent 2/3/4,7.32.1,项羽本纪,汉三年,否,否,,1.0,[reviewed] 句首明确有'汉三年'，事件为项王侵夺甬道、汉王恐慌讲和，非下沉句，叙事顺接前文，无插叙。
T3,A,A-3-06,Agent 2/3/4,53.11.1,萧相国世家,汉十二年的秋天,否,否,,1.0,[reviewed] 目标句有明确时间原文，且叙述具体事件（黥布反叛、高祖亲征），非下沉句，非插叙。
T3,A,A-3-07,Agent 2/3/4,7.22.5,项羽本纪,天下最初发难的时候,否,否,,0.9,[reviewed] 目标句包含‘天下最初发难的时候’这一事件相对时间短语，不是无时间信息；句子是项羽的言论，属于直接引语中的背景说明，但本身是叙述层的事件（说话事件），非下沉；叙事顺序正常，无插叙。
T3,A,A-3-08,Agent 2/3/4,8.23.11,高祖本纪,无,是,否,,0.9,[reviewed] 句子仅描述沛公与项羽兵力对比，属于背景状态，无具体事件，且无时间信息原文。
T3,B,B5-05,Agent 5,8.29.1,,,,,D,1.0,题面前文明确给出‘汉元年四月’，叙事延续到‘八月’，补全为‘汉元年八月’最合理。
T3,B,B5-06,Agent 5,53.11.1,,,,,A,1.0,原文明确给出'汉十二年的秋天'，选项A与之完全一致。
T3,B,B6-05,Agent 6,53.7.1|53.5.2,,,,,B,1.0,材料A明确提到‘汉五年’，材料B提到‘汉二年’，根据纪年顺序，汉二年早于汉五年，因此B早于A。
T3,B,B6-06,Agent 6,8.23.6|7.17.6,,,,,C,1.0,两段材料均描述曹无伤派人向项羽告密沛公欲王关中，核心参与者、动作、对象完全一致，仅表述略有差异，为同一事件。
T3,C,C9-09,Agent 9,53.4.1,萧相国世家,,,,D,0.95,Target描述‘刘邦起事做了沛公，萧何常常做为他的助手督办公务’；候选D的8.10.10-8.10.13直接叙述了沛县父老立刘季为沛公，随后萧何等人为沛公征集兵员，核心事件‘立沛公’及萧何参与一致。A/B/C分别叙述后续胜利入关、项羽分封、早期起兵过程，与target核心动作链不同。
T3,C,C9-10,Agent 9,53.5.1,萧相国世家,,,,C,0.95,Target是汉王东进平定三秦，萧何留守。C项8.29.1至8.30.1详细描述了汉王用韩信计从故道袭击雍王章邯、平定雍地、向东征伐等过程，与target的平定三秦直接对应。
T3,C,C9-11,Agent 9,53.10.2,萧相国世家,,,,B,0.8,target叙述韩信谋反被吕后所杀，源自《淮阴侯列传》；候选B中8.22.1提到汉元年十月沛公至霸上，与韩信事件相关，虽非同一事件，但B涉及刘邦入关及后续事件，可能在时间线上相关。其他选项更不相关。
T3,C,C9-12,Agent 9,53.10.6,萧相国世家,,,,D,0.9,target提到秦朝灭亡后沦为平民种瓜；D选项包含子婴投降、入咸阳等秦亡后事件，是同一历史过程的后续，而其他选项不涉及种瓜或平民生活。
