form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T2,B,B5-03,Agent 5,7.29.3,,,,,A,0.95,前文‘汉二年冬’提供纪年锚点，‘春天’接续，四月应属同一年，即汉二年四月。
T2,B,B5-04,Agent 5,8.26.1,,,,,C,0.95,前文汉元年十一月、十二月，正月自然续接为汉元年正月，符合时间顺序。
T2,B,B6-03,Agent 6,8.21.1|8.23.5,,,,,A,0.95,材料A中项羽杀宋义、代上将军发生在秦二世三年初，材料B中沛公听劝守函谷关在项羽入关前，而后项羽破关、至戏水在同年十一月、十二月，因此A早于B。
T2,B,B6-04,Agent 6,8.60.3|8.52.7,,,,,A,0.95,材料A讲项氏失败时（即项羽败亡前）利几投降高祖，材料B讲灌婴追斩项羽，A的‘项氏失败时’早于B的斩杀事件，故A早于B。
T2,C,C9-05,Agent 9,8.51.2,高祖本纪,,,,B,0.95,Target描述汉王采纳张良、陈平计策追击项羽至阳夏南，与韩信、彭越约期会合；B中7.43.2-7.44.1完全覆盖了同一核心动作链：张良陈平劝进、汉王同意、追击至阳夏南、约期会合，且人物、地点、叙述顺序一致，是同一紧密事件链。
T2,C,C9-06,Agent 9,8.42.5,高祖本纪,,,,D,0.95,D的7.34.4-7.34.7和7.35.2直接描述了项羽攻克荥阳、杀周苛枞公、围成皋，与target核心事件完全一致。
T2,C,C9-07,Agent 9,53.4.3,萧相国世家,,,,B,0.9,Target是沛公做汉王、萧何任丞相，B中8.26.2直接记载项羽改立沛公为汉王，与target核心动作一致，是同一事件链。
T2,C,C9-08,Agent 9,53.4.2,萧相国世家,,,,C,0.95,target描述沛公入咸阳后萧何收图籍，source C的8.22.1-8.22.6完整覆盖了沛公先入咸阳、子婴投降、入城、封府库、还军霸上的同一事件链，属于同一紧密事件链。
T3,A,A-3-01,Agent 2/3/4,53.9.4,萧相国世家,无,否,是,,0.9,句中回忆高祖过去服役时萧何多送钱的事，属于插入过去背景的插叙。
T3,A,A-3-02,Agent 2/3/4,53.10.6,萧相国世家,无,是,否,,1.0,句子描述召平在秦亡后种瓜的背景状态，无明确事件发生，属于下沉句。
T3,A,A-3-03,Agent 2/3/4,8.26.1,高祖本纪,正月,否,否,,1.0,句首有明确时间词‘正月’，叙述项羽自立事件，非下沉句，也非插叙倒叙。
T3,A,A-3-04,Agent 2/3/4,8.29.1,高祖本纪,八月,否,否,,1.0,句首有明确时间信息'八月'，且为叙述汉王军事动作，非下沉句，叙事顺序与上下文一致，非插叙。
T3,A,A-3-05,Agent 2/3/4,7.32.1,项羽本纪,汉三年,否,否,,1.0,句首有明确纪年'汉三年'，且描述具体事件，非下沉句或插叙。
T3,A,A-3-06,Agent 2/3/4,53.11.1,萧相国世家,汉十二年的秋天,否,否,,1.0,有明确纪年短语'汉十二年的秋天'，且句子叙述事件（黥布反叛、高祖征讨），非下沉句，也非插叙/倒叙。
T3,A,A-3-07,Agent 2/3/4,7.22.5,项羽本纪,无,否,否,,0.9,句子是叙述层的说话行为，没有明确时间信息原文；包含事件（项王对将领们说），不是下沉句；连续叙述当前时间线，不是插叙/倒叙。
T3,A,A-3-08,Agent 2/3/4,8.23.11,高祖本纪,无,是,否,,0.95,该句是兵力对比的静态描述，没有具体事件发生，且无明确时间信息原文，故为下沉句。
T3,B,B5-05,Agent 5,8.29.1,,,,,D,1.0,前文明确提到'汉元年四月'，八月在同一年内，应补全为'汉元年八月'。
T3,B,B5-06,Agent 5,53.11.1,,,,,A,1.0,原文明确说‘汉十二年的秋天’，选项中A直接对应。”
T3,B,B6-05,Agent 6,53.7.1|53.5.2,,,,,B,1.0,材料B为汉二年事件，材料A为汉五年事件，汉二年早于汉五年。
T3,B,B6-06,Agent 6,8.23.6|7.17.6,,,,,C,1.0,两段材料描述完全相同的核心事件：曹无伤派人对项羽告密沛公欲王关中，动作、对象、内容一致，细节差异仅为文本表述不同，属同一事件的两种记录。
T3,C,C9-09,Agent 9,53.4.1,萧相国世家,,,,D,0.95,target描述刘邦起事为沛公时萧何任助手，source D的8.10.6-8.10.13详细叙述了沛县父老杀沛令、立刘季为沛公的过程，包括萧何、曹参等参与推举和征募兵员，与target的核心事件（刘邦被立为沛公，萧何作为助手）完全吻合，且发生在同一时间链上。
T3,C,C9-10,Agent 9,53.5.1,萧相国世家,,,,C,0.95,Target描述汉王领兵东进平定三秦，萧何留守巴蜀。选项C的8.29.1-8.30.1详细记载了汉王八月从故道回军击章邯、平定雍地、塞王翟王投降等事件，与target的平定三秦核心动作一致。
T3,C,C9-11,Agent 9,53.10.2,萧相国世家,,,,D,0.0,所有选项均不涉及韩信谋反被杀事件，无匹配项。
T3,C,C9-12,Agent 9,53.10.6,萧相国世家,,,,A,0.7,target描述秦亡后种瓜，A中8.26.3有‘把关中瓜分为三’，与‘种瓜’字面关联但核心动作不同；其他选项均不涉及种瓜或类似事件，A相对最接近但仍有差距。
