case_id,part_id,item_no,sentence_id,source_text,sentence,ai_start_ym,ai_end_ym,ai_unknown,ai_tm,ai_timeblock_id,ai_timeblock_start_tm,ai_timeblock_end_tm,ai_iso_range,ai_crossdoc_used,ai_crossdoc_source_timeblock,ai_oti_exists,ai_oti_text,ai_sink,ai_sink_reason,ai_interlude,ai_interlude_reason,ai_agent_note,participant_start_ym,participant_end_ym,participant_unknown,participant_notes,accepted_ai_without_edit
H-C2,H-C2,2,7.25.2,项羽本纪,项王也出关回到封国，派人迁徙义帝，说：“古代做帝王的拥有千里见方的土地，必须住在上游。”于是就派遣使者把义帝迁往长沙郴县。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
H-C2,H-C2,3,7.25.3,项羽本纪,项王催促义帝快些动身，义帝群臣渐渐背叛了他，项王就暗中命令衡山王、临江王把义帝击杀在江中。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
H-C2,H-C2,4,7.25.4,项羽本纪,韩王成没有军功，项王不让他就国，一起到了彭城，废去王号，改封为侯，不久又杀死了。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
H-C2,H-C2,5,7.25.5,项羽本纪,臧荼到了封国，就驱逐韩广去辽东，韩广不服从，臧茶在无终击杀了韩广，兼并了他的封地。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
H-C2,H-C2,6,7.26.1,项羽本纪,田荣听说项羽把齐王市徒封胶东，而立齐将田都为齐王，十分气愤，不愿让齐王去胶东，就据齐反叛，迎击田都。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
H-C2,H-C2,7,7.26.2,项羽本纪,田都逃往楚国。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
H-C2,H-C2,8,7.26.3,项羽本纪,齐工市害怕项王，就潜往胶东就国。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
H-C2,H-C2,9,7.26.4,项羽本纪,田荣大为生气，派兵追击，在即墨杀死了他。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,10,7.26.5,项羽本纪,田荣便自立为齐王，向西进兵，击杀了济北王田安，兼并了三齐。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,11,7.26.6,项羽本纪,田荣把将军印授予彭越，让他在梁地反楚。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,12,7.26.7,项羽本纪,陈余秘密派遣张同、夏说劝告齐王田荣说：“项羽为天下的主宰，（分封侯王）不公平。如今把原来的诸侯王都封在坏地方称王，而他的群臣诸将都封在好地方称王。（因为要）赶走原来的诸侯王，赵王就（只好）到北方居住代地，我以为这样是不能答应的。听说大王已经起兵，而且不接受不道义的命令，希望大王援助我一些兵马，允许我用以攻打常山，恢复赵王的地位，愿把赵国作为齐国的屏障。”,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,13,7.26.8,项羽本纪,齐王答应了，就遣兵赴赵。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,14,7.26.9,项羽本纪,陈余调动了三县的全部士卒，与齐军并力攻打常山，打垮了常山的军队。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,15,7.26.10,项羽本纪,张耳逃走归服了汉王。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,16,7.26.11,项羽本纪,陈余去代地迎接原来的赵王歇返归赵地。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,17,7.26.12,项羽本纪,赵王就立陈余为代王。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,18,7.27.1,项羽本纪,这时，汉王回军平定了三秦。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,19,7.27.2,项羽本纪,项羽听说汉王已经兼并了关中，将要东进，齐、赵又反叛了他，非常愤怒。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,20,7.27.3,项羽本纪,就以从前的吴令郑昌为韩王，来阻挡汉军。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,21,7.27.4,项羽本纪,命令萧公角等人攻击彭越。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,22,7.27.5,项羽本纪,彭越打败了萧公角等人。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,23,7.27.6,项羽本纪,汉王派张良巡行招抚韩地，张良就给项王写信说：“汉王（没有如约称王关中），有失职守，打算取得关中，实现了原来的约定就停止进军，不敢继续东进。”,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,24,7.27.7,项羽本纪,张良又把齐、梁的反叛文告送给项王，说：“齐想和赵并力灭楚。”楚军因此无意西进，而向北攻打齐国。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,25,7.27.8,项羽本纪,项王向九江王黥布征调兵力。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,26,7.27.9,项羽本纪,黥布称病不往，派将领率兵几千人前去。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,27,7.27.10,项羽本纪,项王从此怨恨黥布。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,,,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=2/3,-0205-04,-0205-12,,,
H-C2,H-C2,28,7.28.1,项羽本纪,汉二年冬，项羽北上到达城阳，田荣也率军到此与项羽会战。,-0205-12,-0204-10,,汉二年冬,7.28.1,-0205-12,-0204-10,-0205-12-01to-0204-10-01,,,1,汉二年冬,,,,,Agent TimeBlock=7.28.1; TM=汉二年冬; Granularity=1. | consensus:majority=3/3,-0205-12,-0204-10,,,
H-C2,H-C2,29,7.28.2,项羽本纪,田荣兵败，逃到平原，平原百姓杀死了他。,-0205-12,-0204-10,,汉二年冬,7.28.1,-0205-12,-0204-10,-0205-12-01to-0204-10-01,,,,,,,,,Agent TimeBlock=7.28.1; TM=汉二年冬; Granularity=1. | consensus:majority=3/3,-0205-12,-0204-10,,,
H-C2,H-C2,30,7.28.3,项羽本纪,楚军北进，烧毁齐国房屋，夷平齐国城郭，坑杀田荣降卒，掳掠老弱妇女。,-0205-12,-0204-10,,汉二年冬,7.28.1,-0205-12,-0204-10,-0205-12-01to-0204-10-01,,,,,,,,,Agent TimeBlock=7.28.1; TM=汉二年冬; Granularity=1. | consensus:majority=3/3,-0205-12,-0204-10,,,
H-C2,H-C2,31,7.32.1,项羽本纪,汉三年，项王屡次侵夺汉军的甬道，汉王粮食缺乏，恐慌起来，请求讲和，划分荥阳以西归汉。,-0204-10,-0203-10,,汉三年,7.32.1,-0204-10,-0203-10,-0204-10-01to-0203-10-01,,,1,汉三年,,,,,Agent TimeBlock=7.32.1; TM=汉三年; Granularity=1. | consensus:majority=3/3,-0204-10,-0203-10,,,
H-C2,H-C2,32,7.32.2,项羽本纪,项王想要答应他。,-0204-10,-0203-10,,汉三年,7.32.1,-0204-10,-0203-10,-0204-10-01to-0203-10-01,,,,,,,,,Agent TimeBlock=7.32.1; TM=汉三年; Granularity=1. | consensus:majority=3/3,-0204-10,-0203-10,,,
H-C2,H-C2,33,7.32.3,项羽本纪,历阳侯范增说：“汉军容易对付，现在放掉他们，不予以消灭，以后一定要懊悔。”,-0204-10,-0203-10,,汉三年,7.32.1,-0204-10,-0203-10,-0204-10-01to-0203-10-01,,,,,,,,,Agent TimeBlock=7.32.1; TM=汉三年; Granularity=1. | consensus:majority=3/3,-0204-10,-0203-10,,,
H-C2,H-C2,34,7.32.4,项羽本纪,项王就和范增加紧围攻荥阳。,-0204-10,-0203-10,,汉三年,7.32.1,-0204-10,-0203-10,-0204-10-01to-0203-10-01,,,,,,,,,Agent TimeBlock=7.32.1; TM=汉三年; Granularity=1. | consensus:majority=3/3,-0204-10,-0203-10,,,
H-C2,H-C2,35,7.35.2,项羽本纪,汉四年，项王围攻成皋。,-0203-10,+infinity,,汉四年,7.35.2,-0203-10,+infinity,-0203-10-01to+infinity,,,1,汉四年,,,,,Agent TimeBlock=7.35.2; TM=汉四年; Granularity=1. | consensus:majority=3/3,-0203-10,+infinity,,,
H-C3,H-C3,1,8.5.1,高祖本纪,高祖作亭长时，曾经请假回家。,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,1,作亭长时,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,2,8.5.2,高祖本纪,吕后与两个孩子在田间除草，有一老人路过，要些水喝，吕后就请他吃了饭。,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,3,8.5.3,高祖本纪,老人给吕后相面，说：“夫人是天下的贵人。”吕后让他给两个孩子看相。,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,4,8.5.4,高祖本纪,老人看了孝惠，说：“夫人所以显贵，就是这个孩子的缘故。”看了鲁元，也是贵相。,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,5,8.5.5,高祖本纪,老人已经走了，高祖正好从别人家来到田间，吕后告诉他一位客人从这里经过，给我们母子看相，说将来都是大贵人，高祖问老父在哪儿.,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,6,8.5.6,高祖本纪,吕后说：“走出不远。”,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,7,8.5.7,高祖本纪,高祖追上了老人，向他询问。,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,8,8.5.8,高祖本纪,老人说：“刚才相过夫人和孩子，他们都跟你相似，你的相貌，贵不可言。”,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,9,8.5.9,高祖本纪,高祖便道谢说：“如果真像老父所说，决不忘记对我的恩德。”,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,10,8.5.10,高祖本纪,等到高祖显贵，竟然不知道老人的去处了。,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,11,8.6.1,高祖本纪,高祖做亭长，以竹皮为帽，这帽子是他派求盗到薛县制做的，经常戴着它。,-infinity,-0206-10,,,8.5.1,-infinity,-0206-10,-infinityto-0206-10-01,,,,,,,,,Agent TimeBlock=8.5.1; TM=; Granularity=0. | consensus:majority=3/3,-infinity,-0206-10,,,
H-C3,H-C3,12,8.22.1,高祖本纪,汉元年十月，沛公的军队先于各路诸侯到达霸上。,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,1,汉元年十月,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,13,8.22.2,高祖本纪,秦王于婴素车白马，用丝带系着脖子，封了皇帝的印玺和符节，在轵道旁投降。,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,14,8.22.3,高祖本纪,将领们有的主张杀死秦王。,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,15,8.22.4,高祖本纪,沛公说：“当初楚怀王派遣我，本来是因为我能宽大容人。况且人家已经降服，又杀死人家，不吉利。”,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,16,8.22.5,高祖本纪,于是就把秦王交给了官吏，向西进入咸阳。,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,17,8.22.6,高祖本纪,沛公想要留在宫殿中休息，樊哙、张良劝说后，才封闭了秦宫的贵重珍宝、财物和库房，回军霸上。,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,18,8.22.7,高祖本纪,召集各县的父老、豪杰说：“父老们苦于秦朝的严刑峻法已经很久了，诽谤朝政的要灭族，相聚议论的要在街市上处斩。我和诸侯们约定，先入关的在关中称王，我应当称王关中。同父老们约定，法律只有三章：杀人的处死，伤人和抢劫的处以与所犯罪相当的刑罚。其余的秦朝法律全部废除。官吏和百姓都要安居如故。我所以到这里来，是为父老们除害，不会有欺凌暴虐的行为，不要害怕。我所以回军霸上，是等待诸侯们到来制定共同遵守的纪律。”,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,19,8.22.8,高祖本纪,沛公派人与秦朝官吏巡行县城乡间，告谕百姓。,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
H-C3,H-C3,20,8.22.9,高祖本纪,秦地的百姓大为高兴，争先恐后地拿出牛羊酒食款待士兵。,-0206-10,-0206-11,,汉高祖元年十月,8.22.1,-0206-10,-0206-11,-0206-10-01to-0206-11-01,,,,,,,,,Agent TimeBlock=8.22.1; TM=汉高祖元年十月; Granularity=2. | consensus:majority=3/3,-0206-10,-0206-11,,,
