case_id,part_id,item_no,sentence_id,source_text,sentence,ai_start_ym,ai_end_ym,ai_unknown,ai_tm,ai_timeblock_id,ai_timeblock_start_tm,ai_timeblock_end_tm,ai_iso_range,ai_crossdoc_used,ai_crossdoc_source_timeblock,ai_oti_exists,ai_oti_text,ai_sink,ai_sink_reason,ai_interlude,ai_interlude_reason,ai_agent_note,participant_start_ym,participant_end_ym,participant_unknown,participant_notes,accepted_ai_without_edit
H-C1,H-C1,1,53.10.1,萧相国世家,汉十一年，陈豨反叛，高祖亲自率军到了邯郸。,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0001.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0001.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C2,H-C2,12,7.26.7,项羽本纪,陈余秘密派遣张同、夏说劝告齐王田荣说：“项羽为天下的主宰，（分封侯王）不公平。如今把原来的诸侯王都封在坏地方称王，而他的群臣诸将都封在好地方称王。（因为要）赶走原来的诸侯王，赵王就（只好）到北方居住代地，我以为这样是不能答应的。听说大王已经起兵，而且不接受不道义的命令，希望大王援助我一些兵马，允许我用以攻打常山，恢复赵王的地位，愿把赵国作为齐国的屏障。”,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0012.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0012.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=陈余劝告齐王，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,13,7.26.8,项羽本纪,齐王答应了，就遣兵赴赵。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0013.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0013.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=齐王答应并遣兵，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,14,7.26.9,项羽本纪,陈余调动了三县的全部士卒，与齐军并力攻打常山，打垮了常山的军队。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0014.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0014.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=陈余与齐军攻打常山，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,15,7.26.10,项羽本纪,张耳逃走归服了汉王。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0015.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0015.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=张耳逃走归汉，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,16,7.26.11,项羽本纪,陈余去代地迎接原来的赵王歇返归赵地。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0016.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0016.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=陈余迎接赵王歇，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,17,7.26.12,项羽本纪,赵王就立陈余为代王。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0017.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0017.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=赵王立陈余为代王，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,18,7.27.1,项羽本纪,这时，汉王回军平定了三秦。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0018.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0018.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=汉王平定三秦，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,19,7.27.2,项羽本纪,项羽听说汉王已经兼并了关中，将要东进，齐、赵又反叛了他，非常愤怒。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0019.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0019.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=项羽愤怒，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,20,7.27.3,项羽本纪,就以从前的吴令郑昌为韩王，来阻挡汉军。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0020.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0020.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=项羽以郑昌为韩王，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,21,7.27.4,项羽本纪,命令萧公角等人攻击彭越。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0021.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0021.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=项羽命令攻击彭越，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,22,7.27.5,项羽本纪,彭越打败了萧公角等人。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0022.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0022.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=彭越打败萧公角，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,23,7.27.6,项羽本纪,汉王派张良巡行招抚韩地，张良就给项王写信说：“汉王（没有如约称王关中），有失职守，打算取得关中，实现了原来的约定就停止进军，不敢继续东进。”,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0023.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0023.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=张良写信给项王，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,24,7.27.7,项羽本纪,张良又把齐、梁的反叛文告送给项王，说：“齐想和赵并力灭楚。”楚军因此无意西进，而向北攻打齐国。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0024.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0024.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=张良送反叛文告，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,25,7.27.8,项羽本纪,项王向九江王黥布征调兵力。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0025.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0025.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=项王向黥布征兵，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,26,7.27.9,项羽本纪,黥布称病不往，派将领率兵几千人前去。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0026.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0026.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=黥布称病不往，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,27,7.27.10,项羽本纪,项王从此怨恨黥布。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0027.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0027.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=项王怨恨黥布，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,28,7.28.1,项羽本纪,汉二年冬，项羽北上到达城阳，田荣也率军到此与项羽会战。,-0205-12,-0205-12,,汉二年冬,0f9e349c-6322-53dc-b976-643e077c9e50.2.0028.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0028.2,汉二年冬,汉二年冬,-0205-12to-0205-12,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉二年冬; end_time=汉二年冬; notes= | step11_postprocess=start[汉二年冬->-0205-12] end[汉二年冬->-0205-12],,,,,
H-C2,H-C2,29,7.28.2,项羽本纪,田荣兵败，逃到平原，平原百姓杀死了他。,-0205-12,-0205-12,,汉二年冬,0f9e349c-6322-53dc-b976-643e077c9e50.2.0029.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0029.2,汉二年冬,汉二年冬,-0205-12to-0205-12,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉二年冬; end_time=汉二年冬; notes=承接上文，田荣兵败被杀 | step11_postprocess=start[汉二年冬->-0205-12] end[汉二年冬->-0205-12],,,,,
H-C2,H-C2,30,7.28.3,项羽本纪,楚军北进，烧毁齐国房屋，夷平齐国城郭，坑杀田荣降卒，掳掠老弱妇女。,-0205-12,-0205-12,,汉二年冬,0f9e349c-6322-53dc-b976-643e077c9e50.2.0030.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0030.2,汉二年冬,汉二年冬,-0205-12to-0205-12,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉二年冬; end_time=汉二年冬; notes=楚军北进烧杀，时间在汉二年冬 | step11_postprocess=start[汉二年冬->-0205-12] end[汉二年冬->-0205-12],,,,,
