form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T2,B,B5-04,Agent 5,8.26.1,,,,,C,1.0,前文叙述汉元年十一月、十二月，此处正月紧接其后，故为汉元年正月。
T2,B,B6-03,Agent 6,8.21.1|8.23.5,,,,,A,0.9,材料A中项羽杀宋义、成为上将军之事早于材料B中项羽攻破函谷关、至戏水之事，且材料B中提到项羽已降章邯、即将入关，明显在A之后。
T2,B,B6-04,Agent 6,8.60.3|8.52.7,,,,,B,1.0,材料B描述项羽败亡（东城被杀），材料A描述项羽失败后利几投降高祖，事件有因果先后，项羽死亡是利几投降的前提条件，故B早于A。
T2,C,C9-05,Agent 9,8.51.2,高祖本纪,,,,B,0.95,target的核心事件是汉王采纳张良陈平计策追击项羽，在阳夏南驻扎，约韩信彭越会合；B选项[7.43.2]至[7.44.1]描述了完全相同的计策、追击、驻扎和约期会合过程，核心动作链完全一致。
T2,C,C9-06,Agent 9,8.42.5,高祖本纪,,,,D,1.0,D选项描述项王攻下荥阳、烹周苛、围成皋，核心动作与target完全一致，是同一事件的详细记载。
T2,C,C9-07,Agent 9,53.4.3,萧相国世家,,,,D,0.95,"Target与D选项均涉及刘邦被立为汉王后的事件,D的8.26.2明确提到项羽背约改立沛公为汉王,与Target的'沛公做了汉王'直接对应,且D后续8.29.1起描述汉王用韩信计策回军袭击雍王等行动,与萧何任丞相后辅佐汉王的过程紧密相关。"
T2,C,C9-08,Agent 9,53.4.2,萧相国世家,,,,C,0.95,Target描述沛公入咸阳、萧何收秦档案，Source C（8.22.1-8.22.10）详细记载了沛公入咸阳前后过程，包括秦王投降、进入咸阳、封库回军、约法三章等，是同一事件链的核心部分。
T3,A,A-3-01,Agent 2/3/4,53.9.4,萧相国世家,后又,否,是,,0.9,句中“后又”指代时间顺序，插入回忆过去萧何多送钱之事，属于插叙。
T3,A,A-3-02,Agent 2/3/4,53.10.6,萧相国世家,无,是,否,,1.0,句6描述秦亡后召平沦为平民种瓜，是背景介绍，无明确时间原文，为下沉句。
T3,A,A-3-03,Agent 2/3/4,8.26.1,高祖本纪,正月,否,否,,0.95,句首有明确时间原文'正月'，且为叙述项羽自立事件，非描述性下沉句，也非中断当前时间线的插叙倒叙。
T3,A,A-3-04,Agent 2/3/4,8.29.1,高祖本纪,八月,否,否,,1.0,句首有明确时间词'八月'，句子描述事件，非插叙或下沉。
T3,A,A-3-05,Agent 2/3/4,7.32.1,项羽本纪,汉三年,否,否,,0.95,句子有明确时间原文'汉三年'，叙述具体事件项王侵夺甬道，非下沉或插叙。
T3,A,A-3-06,Agent 2/3/4,53.11.1,萧相国世家,汉十二年的秋天,否,否,,1.0,题面有明确时间信息原文'汉十二年的秋天'，句子描述具体事件（黥布反叛、高祖征讨、询问萧何），不是下沉句，也不是插叙/倒叙。
T3,A,A-3-07,Agent 2/3/4,7.22.5,项羽本纪,无,否,否,,0.95,句子是直接引语，叙述层是项王说话的行为，时间信息模糊，不属于下沉句或插叙。
T3,A,A-3-08,Agent 2/3/4,8.23.11,高祖本纪,无,否,否,,0.9,句子描述兵力对比，是客观状态，有明确时间背景但无时间短语，非下沉，非插叙。
T3,B,B5-05,Agent 5,8.29.1,,,,,D,0.9,前文明确提到‘汉元年四月’，八月在同一年内，故应补全为‘汉元年八月’。
T3,B,B5-06,Agent 5,53.11.1,,,,,A,1.0,原文已明确给出'汉十二年的秋天'，A项完全一致，无需推理其他年份。
T3,B,B6-05,Agent 6,53.7.1|53.5.2,,,,,B,1.0,材料B有明确纪年‘汉二年’，材料A为‘汉五年’，汉二年早于汉五年，故B早于A。
T3,B,B6-06,Agent 6,8.23.6|7.17.6,,,,,C,1.0,两段材料核心事件完全相同：曹无伤告密，内容一致，仅文字表述略异，属同一事件的不同出处。
T3,C,C9-09,Agent 9,53.4.1,萧相国世家,,,,C,0.95,Target描述萧何在沛公起事时担任助手督办公务，source C中[8.10.13]明确提到萧何等人为沛公征集兵员，与target的‘常常作为助手督办公务’紧密对应，且发生在同一时间。其它选项时间靠后或核心动作不符。
T3,C,C9-10,Agent 9,53.5.1,萧相国世家,,,,C,0.95,target描述汉王东进平定三秦，萧何留守巴蜀；C选项8.29-8.30详细记载了汉王用韩信计从故道袭击章邯、平定雍地、东出略取城邑等过程，与target核心动作链高度一致。
T3,C,C9-11,Agent 9,53.10.2,萧相国世家,,,,D,0.0,target描述吕后杀韩信，选项D中无相关事件，但其他选项更不相关，只能选D。
T3,C,C9-12,Agent 9,53.10.6,萧相国世家,,,,C,0.7,Target描述秦亡后平民种瓜，而C选项叙述刘邦起事反秦，形成因果链：秦亡源自反秦起义，故C最可能为同一历史过程的前因。
